"Order"	"Family"	"Genus"	"Species"	"Common names (Eng)"	"Red List status"	"genus-order"	"species-order"
"ANSERIFORMES"	"ANATIDAE"	"Aythya"	"americana"	"Redhead"	"LC"	5	5
"ANSERIFORMES"	"ANATIDAE"	"Aythya"	"collaris"	"Ring-necked Duck"	"LC"	5	6
"ANSERIFORMES"	"ANATIDAE"	"Aythya"	"nyroca"	"Ferruginous Duck"	"NT"	5	2
"ANSERIFORMES"	"ANATIDAE"	"Aythya"	"innotata"	"Madagascar Pochard"	"CR"	5	0
"ANSERIFORMES"	"ANATIDAE"	"Aythya"	"baeri"	"Baer's Pochard"	"CR"	5	1
"ANSERIFORMES"	"ANATIDAE"	"Aythya"	"australis"	"Hardhead"	"LC"	5	7
"ANSERIFORMES"	"ANATIDAE"	"Aythya"	"fuligula"	"Tufted Duck"	"LC"	5	8
"ANSERIFORMES"	"ANATIDAE"	"Aythya"	"novaeseelandiae"	"New Zealand Scaup"	"LC"	5	9
"ANSERIFORMES"	"ANATIDAE"	"Aythya"	"marila"	"Greater Scaup"	"LC"	5	10
"ANSERIFORMES"	"ANATIDAE"	"Aythya"	"affinis"	"Lesser Scaup"	"LC"	5	11
"ANSERIFORMES"	"ANATIDAE"	"Biziura"	"lobata"	"Musk Duck"	"LC"	6	0
"ANSERIFORMES"	"ANATIDAE"	"Branta"	"canadensis"	"Canada Goose"	"LC"	7	2
"ANSERIFORMES"	"ANATIDAE"	"Branta"	"hutchinsii"	"Cackling Goose"	"LC"	7	3
"ANSERIFORMES"	"ANATIDAE"	"Branta"	"sandvicensis"	"Hawaiian Goose"	"VU"	7	1
"ANSERIFORMES"	"ANATIDAE"	"Branta"	"leucopsis"	"Barnacle Goose"	"LC"	7	4
"ANSERIFORMES"	"ANATIDAE"	"Branta"	"bernicla"	"Brent Goose"	"LC"	7	5
"ANSERIFORMES"	"ANATIDAE"	"Branta"	"ruficollis"	"Red-breasted Goose"	"EN"	7	0
"ANSERIFORMES"	"ANATIDAE"	"Bucephala"	"clangula"	"Common Goldeneye"	"LC"	8	0
"ANSERIFORMES"	"ANATIDAE"	"Bucephala"	"islandica"	"Barrow's Goldeneye"	"LC"	8	1
"ANSERIFORMES"	"ANATIDAE"	"Bucephala"	"albeola"	"Bufflehead"	"LC"	8	2
"ANSERIFORMES"	"ANATIDAE"	"Cairina"	"moschata"	"Muscovy Duck"	"LC"	9	1
"ANSERIFORMES"	"ANATIDAE"	"Cairina"	"scutulata"	"White-winged Duck"	"EN"	9	0
"ANSERIFORMES"	"ANATIDAE"	"Callonetta"	"leucophrys"	"Ringed Teal"	"LC"	10	0
"ANSERIFORMES"	"ANATIDAE"	"Cereopsis"	"novaehollandiae"	"Cape Barren Goose"	"LC"	11	0
"ANSERIFORMES"	"ANATIDAE"	"Chen"	"caerulescens"	"Snow Goose"	"LC"	12	1
"ANSERIFORMES"	"ANATIDAE"	"Chen"	"rossii"	"Ross's Goose"	"LC"	12	2
"ANSERIFORMES"	"ANATIDAE"	"Chen"	"canagica"	"Emperor Goose"	"NT"	12	0
"ANSERIFORMES"	"ANATIDAE"	"Chenonetta"	"jubata"	"Australian Wood Duck"	"LC"	13	0
"ANSERIFORMES"	"ANATIDAE"	"Chloephaga"	"melanoptera"	"Andean Goose"	"LC"	14	0
"ANSERIFORMES"	"ANATIDAE"	"Chloephaga"	"picta"	"Upland Goose"	"LC"	14	1
"ANSERIFORMES"	"ANATIDAE"	"Chloephaga"	"hybrida"	"Kelp Goose"	"LC"	14	2
"ANSERIFORMES"	"ANATIDAE"	"Chloephaga"	"poliocephala"	"Ashy-headed Goose"	"LC"	14	3
"ANSERIFORMES"	"ANATIDAE"	"Chloephaga"	"rubidiceps"	"Ruddy-headed Goose"	"LC"	14	4
"ANSERIFORMES"	"ANATIDAE"	"Clangula"	"hyemalis"	"Long-tailed Duck"	"VU"	15	0
"ANSERIFORMES"	"ANATIDAE"	"Coscoroba"	"coscoroba"	"Coscoroba Swan"	"LC"	16	0
"ANSERIFORMES"	"ANATIDAE"	"Cyanochen"	"cyanoptera"	"Blue-winged Goose"	"VU"	17	0
"ANSERIFORMES"	"ANATIDAE"	"Cygnus"	"olor"	"Mute Swan"	"LC"	18	0
"ANSERIFORMES"	"ANATIDAE"	"Cygnus"	"atratus"	"Black Swan"	"LC"	18	1
"ANSERIFORMES"	"ANATIDAE"	"Cygnus"	"melancoryphus"	"Black-necked Swan"	"LC"	18	2
"ANSERIFORMES"	"ANATIDAE"	"Cygnus"	"cygnus"	"Whooper Swan"	"LC"	18	3
"ANSERIFORMES"	"ANATIDAE"	"Cygnus"	"buccinator"	"Trumpeter Swan"	"LC"	18	4
"ANSERIFORMES"	"ANATIDAE"	"Cygnus"	"columbianus"	"Tundra Swan"	"LC"	18	5
"ANSERIFORMES"	"ANATIDAE"	"Dendrocygna"	"guttata"	"Spotted Whistling-duck"	"LC"	19	1
